Objective,ID,Classification,Bucket,Core Tags,Supplementary Tags,Restrictions,Selection Count,Selection Frequency
Forge with Orihalcon,57,7,B,"Shopping, Forge",,"53, 54, 55, 56, 58, 59, 60, 74, 223, 276",475,4.8%
Collect the Lemuria Fountain Item,113,5,B,Grind,Lemuria,"123, 139, 141, 173, 206",474,4.7%
Forge with Sylph Feather,56,7,B,"Shopping, Forge",,"53, 54, 55, 57, 58, 59, 60, 74, 223, 276",471,4.7%
Give Piers 6 Djinn,187,9,B,"Djinn_c, Character",,"9, 10, 11, 12, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249",440,4.4%
Find all female Adepts,248,9,B,Character,Exploration,"247, 249, 250, 261, 262, 263, 264, 265, 240, 246, 265, 11, 241, 248, 265, 10, 242, 247",418,4.2%
Find all Adepts from Vale,247,9,B,Character,Exploration,"248, 249, 250, 261, 262, 263, 264, 265, 237, 243, 249, 10, 242, 247, 248, 238, 244, 249",416,4.2%
Open the entrance at Magma Rock Summit ,282,20,E,"Lift, Burst, Growth, Lash",,"144, 283, 170, 150",404,4.0%
Get blasted off of a wall by a fireball,228,20,E,"Lift, Burst, Growth, Lash","Magma Rock, Gondowan","170, 190, 150, 282",393,3.9%
Find all adepts not from Vale,265,9,B,Character,Exploration,"247, 248, 249, 250, 261, 262, 263, 264, 12, 187, 249, 11, 241, 248, 240, 246, 248, 239, 245, 249",386,3.9%
Find all male Adepts,249,9,B,Character,Exploration,"247, 248, 250, 261, 262, 263, 264, 265, 237, 243, 247, 238, 244, 247, 239, 245, 265, 12, 187, 265",376,3.8%
Break a piece of equipment,17,2,A,"Battle, Collect_c",,,252,2.5%
Defeat each member of the Momonga line,66,8,A,Battle,"LineClear, Tundaria, Osenia","61, 62, 63, 64, 65, 67",243,2.4%
Get a Rainbow kill,8,1,A,Battle,,,237,2.4%
Defeat each member of the Kobold line,62,8,A,Battle,"LineClear, Treasure Isle, Gondowan","61, 63, 64, 65, 66, 67",236,2.4%
Have the party equipped with four different pieces of cursed equipment,71,2,A,Collect_c,Curse,"68, 69, 73",236,2.4%
Use four different healing items in battle,15,2,A,"Battle, Collect_c",,,236,2.4%
Inflict a status ailment on an enemy,4,1,A,Battle,Status,,234,2.3%
Collect either overworld Djinn in Hesperia or Atteka,32,4,A,"Western Sea, Djinn_s, Battle",,33,233,2.3%
Purchase 5 different artifact type items,5,1,A,Shopping,,,231,2.3%
"Visit all locations with Islands, Isles & Islets in their name (9)",28,4,A,"Western Sea, Exploration",Islands,,230,2.3%
"Buy an item worth over 10,000 coins",3,1,A,Shopping,,70,229,2.3%
Defeat each member of the Wolfkin line,63,8,A,Battle,"LineClear, Treasure Isle, Gondowan","61, 62, 64, 65, 66, 67",227,2.3%
Obtain the item from the Corn vendor,34,4,A,Western Sea,Atteka,,227,2.3%
Defeat an Elite level Djinn,254,2,A,"Battle, Djinn_c",,,226,2.3%
Defeat each member of the Wyvern line,67,8,A,Battle,"LineClear, Treasure Isle, Gondowan","61, 62, 63, 64, 65, 66",224,2.2%
Reach level 21 on at least 3 characters,158,1,A,Battle,,,222,2.2%
Buff a stat to the max in a battle,19,2,A,Battle,,,221,2.2%
Deal over 500 damage to a single target in one hit,13,2,A,Battle,,,221,2.2%
Speak to both baby adepts,36,4,A,"Western Sea, Briggs",,,220,2.2%
Open the SW Atteka chest,31,4,A,"Western Sea, Collect_l","Islands, Puzzle, Fun","35, 99",219,2.2%
Reach 149 Element Resist in an element with any Adept,69,2,A,Inventory,,"68, 71, 73",219,2.2%
Defeat each member of the Assassin line,64,8,A,Battle,"LineClear, Treasure Isle, Gondowan","61, 62, 63, 65, 66, 67",217,2.2%
Defeat each member of the Dinox line,65,8,A,Battle,"LineClear, Tundaria, Osenia","61, 62, 63, 64, 66, 67",217,2.2%
Have your party wipe in battle,6,1,A,Battle,,,216,2.2%
Unequip a cursed item,1,1,A,"Shopping, Collect_c",Curse,,216,2.2%
Defeat each member of the Emu line,61,8,A,Battle,"LineClear, Treasure Isle, Osenia","62, 63, 64, 65, 66, 67",211,2.1%
Reach at least 30% crit chance on someone,73,2,A,Inventory,,"68, 69, 71",210,2.1%
Reach 139 Elemental Power in an element with any Adept,68,2,A,Inventory,,"69, 71, 73",208,2.1%
Restore party psynergy with 4 different psynergy stones,2,1,A,Exploration,,,207,2.1%
Enter the cave in Gondowan Cliffs,25,3,A,Whirlwind,"Gondowan, Exploration",,206,2.1%
Swing across any Vine or Chain,26,3,A,Whirlwind,"Gaia Rock, Nihan",168,206,2.1%
Yeet the Carry Stone into the void,164,4,A,"Western Sea, Carry","Angara, Fun, Puzzle",,205,2.1%
Have the box in SW Atteka Float Away,35,4,A,Western Sea,"Islands, Puzzle, Fun","31, 99",204,2.0%
Drain at least 1 PP or HP from an enemy,20,2,A,Battle,Status,,203,2.0%
"Collect the ""Flora Summon Tablet"" in Airs Rock",24,3,A,"Whirlwind, Collect_l","Airs Rock, Puzzle, Osenia","23, 152, 227, 267",201,2.0%
Use the Trident in battle,18,2,A,"Battle, Collect_s",,45,201,2.0%
Enter Poseidon's room from all three entrances,232,4,A,Grind,"Fun, Exploration",29,200,2.0%
Defeat an enemy in the desert area of Hesperia,16,4,A,"Battle, Exploration, Western Sea",,,197,2.0%
Collect all overworld Djinn,33,4,A,"Western Sea, Djinn_l, Battle",,32,195,1.9%
Get knocked off a wall by a Moai in Gaia Rock,27,3,A,Whirlwind,"Gaia Rock, Nihan, Fun, Puzzle",,193,1.9%
Fight three Aqua Jellies,14,2,A,Battle,,207,192,1.9%
Enter Gondowan Cliffs from all four entrances,29,4,A,"Western Sea, Exploration",Gondowan,232,189,1.9%
Get blown off a wall by a whirlwind,227,3,A,Whirlwind,Airs Rock,"23, 24, 152",187,1.9%
Summon a Lightning Bolt (JL or Airs),267,3,A,Whirlwind,Airs Rock,"23, 24, 152, 227",183,1.8%
Befriend the Taopo Swamp Djinn,22,3,A,"Whirlwind, Battle, Djinn_l","Osenia, Taopo",,176,1.8%
Visit both Settlements,30,4,A,"Western Sea, Exploration",,"101, 159",175,1.8%
Enter Airs Rock Tablet Room,23,3,A,"Whirlwind, Exploration","Airs Rock, Osenia","24, 152, 227, 267",162,1.6%
